game_number,move_number,player,position,score,distance_from_center,position_x,position_y,aggressive_sequence,defensive_pressure,total_opportunities,total_threats,minor_opportunity,moderate_opportunity,major_opportunity,critical_open,win_sequence,moderate_threat,major_threat,critical_threat,lose_sequence,total_local_stones
1,1,Black,"(7, 7)",10,0,7,7,0,0,4,4,4,0,0,0,0,0,0,0,0,1
1,3,Black,"(7, 6)",730,1,7,6,0,0,3,3,2,1,0,0,0,1,0,0,0,3
1,5,Black,"(5, 7)",1560,2,5,7,0,0,3,5,3,0,0,0,0,0,1,0,0,5
1,7,Black,"(6, 5)",5200,3,6,5,0,0,2,4,1,1,0,0,0,1,1,0,0,7
1,9,Black,"(5, 6)",810,3,5,6,0,0,2,2,0,2,0,0,0,1,0,0,0,9
1,11,Black,"(4, 7)",1130,3,4,7,1,0,3,2,2,0,1,0,0,1,0,0,0,11
1,13,Black,"(6, 8)",5300,2,6,8,0,0,2,3,0,2,0,0,0,2,1,0,0,12
1,15,Black,"(5, 9)",1040,4,5,9,1,0,4,2,3,0,1,0,0,0,0,0,0,12
1,17,Black,"(5, 3)",5040,6,5,3,0,0,2,4,2,0,0,0,0,1,1,0,0,9
1,19,Black,"(10, 8)",100000550,4,10,8,0,1,3,5,3,0,0,0,0,0,1,1,0,6
1,21,Black,"(11, 7)",1595,4,11,7,0,0,3,4,2,1,0,0,0,0,1,0,0,5
1,23,Black,"(9, 8)",860,3,9,8,0,0,3,3,1,2,0,0,0,2,0,0,0,14
1,25,Black,"(7, 8)",21500,1,7,8,1,0,3,2,1,1,1,0,0,0,0,0,0,20
1,27,Black,"(8, 5)",10600,3,8,5,0,0,1,5,1,0,0,0,0,1,2,0,0,22
1,29,Black,"(8, 9)",1000000525,3,8,9,0,1,2,3,2,0,0,0,0,0,1,0,1,21
1,31,Black,"(7, 9)",13050,2,7,9,1,0,2,2,0,1,1,0,0,0,1,0,0,23
1,33,Black,"(7, 4)",2260,3,7,4,2,0,3,1,1,1,1,0,0,0,0,0,0,18
1,35,Black,"(6, 3)",23800,5,6,3,3,0,3,1,1,1,1,0,0,1,0,0,0,13
1,37,Black,"(4, 3)",8650,7,4,3,4,0,3,2,2,0,1,0,0,1,0,0,0,12
1,39,Black,"(6, 10)",1110,4,6,10,0,0,1,2,0,1,0,0,0,0,1,0,0,19
1,41,Black,"(7, 11)",5650,4,7,11,1,0,3,2,2,0,1,0,0,1,0,0,0,14
